"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"astro-ph/0410323","Xiang-Dong Li","Xiang-Dong Li (Nanjing University)","Evolution of Intermediate-Mass Black Hole X-Ray Binaries","11 pages, 3 figures. Accepted for publication in ApJL","Astrophys.J. 616 (2004) L119-L122","10.1086/426669",,"astro-ph",,"  The majority of the ultraluminous X-ray sources (ULXs) in external galaxies
are believed to be accreting black holes in binary systems; some of the black
holes could be as massive as $\sim 100-1000 \ms$. We have performed evolution
calculations for intermediate-mass black hole X-ray binaries, assuming they are
formed in dense star clusters via tidal capture. The results are compared with
those for stellar-mass black holes X-ray binaries. We find that these two types
of black holes may have similar companion stars and binary orbits if observed
as ULXs. However, intermediate-mass black holes seem to be favored in
explaining the most luminous ULXs. We also discuss the possibilities of
transient behavior and beamed emission in the evolution of these binary
systems.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 02:54:52 GMT""}]","2009-11-10"
"astro-ph/0410324","Alexander Yushchenko V.","A. Yushchenko, V. Gopka, C. Kim, F. Musaev, F. Kang","About the chemical composition of delta Scuti - the prototype of the
  class of pulsating variables","8 pages, 2 figures, subm. to Proc. of IAU Symp. 224",,"10.1017/S1743921305009828",,"astro-ph",,"  We present chemical abundances in the photosphere of $\delta$ Scuti -- the
prototype of the class of pulsating variables -- determined from the analysis
of a spectrum obtained at Terskol observatory 2 meter telescope with resolution
$R=52,000$, signal to noise ratio 250. VLT and IUE spectra were used also .
Abundance pattern of \dsct consists of 49 chemical elements. The abundances of
Be, P, Ge, Nb, Mo, Ru, Er, Tb, Dy, Tm, Yb, Lu, Hf, Ta, Os, Pt, Th were not
investigated previously. The lines of third spectra of Pr and Nd also are
investigated for the first time. The abundances of heavy elements show the
overabundances with respect to the Sun up to 1 dex. The abundance pattern of
\dsct is similar to that of Am-Fm stars.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 05:44:27 GMT""}]","2009-11-10"
"astro-ph/0410325","Yu Xin","Y. Xin and L. Deng","Blue Stragglers in Galactic Open Clusters and the Integrated Spectral
  Energy Distributions","45 pages, 21 figures Accepted for publication in ApJ (Feburary 1,
  2005 issue)","Astrophys.J. 619 (2005) 824-838","10.1086/426681",,"astro-ph",,"  Synthetic integrated spectral properties of the old Galactic open clusters
are studies in this work, where twenty-seven Galactic open clusters of ages >=
1Gyr are selected as the working sample. Based on the photometric observations
of these open clusters, synthetic integrated spectrum has been made for the
stellar population of each cluster. The effects of blue straggler stars (BSSs)
on the conventional simple stellar population (SSP) model are analyzed on an
individual cluster base. It is shown that the BSSs, whose holding positions in
the color-magnitude diagrams (CMDs) cannot be predicted by the current
single-star evolution theory, present significant modifications to the
integrated properties of theoretical SSP model. The synthesized integrated
spectral energy distributions (ISEDs) of our sample clusters are dramatically
different from the SSPs based on isochrone only. The BSSs corrected ISEDs of
stellar populations show systematic enhancements towards shorter wavelength in
the spectra. When measured with wide-band colors in unresolvable conditions,
the age of a stellar population can be seriously under-estimated by the
conventional SSP model. Therefore, considering the common existence of BSS
component in real stellar populations, a considerable amount of alternations on
the conventional ISEDs should be expected when applying the technique of
evolutionary population synthesis (EPS) to more complicated stellar systems.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 06:54:49 GMT""}]","2009-11-10"
"astro-ph/0410326","Valentina Zitelli","V. Zitelli, B. Kelm, P. Focardi, S. Montanaro","The environment of Seyferts, Liners and HII galaxies in a Complete AGN
  sample","4 pages, 3 figures. To appear in 6th Italian Conference on AGN Proc",,,,"astro-ph",,"  We use a complete AGN sample (Ho et al. 1997) to study the environment of
Seyferts, LINERs and HII galaxies. For each AGN we search for companions in the
UZC redshift catalogue and compute local as well as large scale neighbour
density and distance to the nearest neighbour. We find that on small scale (~
0.2 h^-1 Mpc) LINERs exhibit denser environments than Seyferts and HII galaxies
at 3 sigma significance level. The same result is not confirmed when densities
are computed on large scales. LINERs also exhibit closer nearest neighbours
than Seyferts and HII galaxies (at 2 sigma c.l.). However, when excluding AGNs
in early type galaxy hosts, the neighbour density characteristics of LINERs
Seyferts and HII galaxies turn out to be similar, a result that confirms that
the excess of neighbours around LINERs is most likely due to a
morphology-density effect.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 08:42:35 GMT""}]","2007-05-23"
"astro-ph/0410327","Marc Freitag","Marc Freitag (1), M. Atakan G\""urkan (2), Frederic A. Rasio (2) ((1)
  Astronomisches Rechen-Institut, Heidelberg (2) Northwestern University,
  Evanston)","Collisions Between Single Stars in Dense Clusters: Runaway Formation of
  a Massive Object","6 pages, 5 figures, Invited talk at ""Massive Stars in Interacting
  Binaries"" (Lac Sacacomie, Quebec, 16-20 Aug 2004)","Massive Stars in Interactive Binaries, ASP Conference Series 367,
  Astronomical Society of the Pacific, 2007., p.707",,,"astro-ph",,"  Using Monte Carlo codes, we follow the collisional evolution of clusters in a
variety of scenarios. We consider the conditions under which a cluster of main
sequence stars may undergo rapid core collapse due to mass segregation, thus
entering a phase of runaway collisions, forming a very massive star (VMS, M >=
1000 Msun) through repeated collisions between single stars. Although
collisional mass loss is accounted for realistically, we find that a VMS forms
even in proto-galactic nuclei models with a high velocity dispersion (many 100
km/s). Such a VMS may be a progenitor for an intermediate-mass black hole (M >=
100 Msun). In contrast, in galactic nuclei hosting a central massive black
hole, collisions are found to be disruptive. The stars which are subject to
collisions are progressively ground down by high-velocity collisions and a
merger sequence appears impossible.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 09:11:50 GMT""}]","2011-12-13"
"astro-ph/0410328","Eduard Aschenbach","B. Aschenbach","Mass and Angular Momentum of Sgr A*","2 pages, 1 figure, poster contribution to Conf. Proc. ""Growing Black
  Holes"", Garching, 2004, Eds. A. Merloni, S. Nayakshin, R. Sunyaev, Springer
  series ""ESO Astrophysics Symposia"", in print",,"10.1007/11403913_54",,"astro-ph",,"  For very fast spinning black holes with a>0.9953 the orbital velocity of a
test particle unexpectly shows a positive radial gradient for low orbits, an
effect of GR which has been overlooked so far. For a=0.99616 the maximum radial
change of the orbital velocity equals the radial epicyclic frequency, which in
turn is in a 1:3 resonance with the vertical epicyclic frequency. Application
to Sgr A* using the quasi-periodic oscillations recently measured suggest that
the mass of Sgr A* is 3.28 +/- 0.13 million solar masses.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 10:27:00 GMT""}]","2009-11-10"
"astro-ph/0410330","Sergej Moiseenko G.","S.G.Moiseenko, G.S.Bisnovatyi-Kogan, N.V.Ardeljan","Magnetorotational supernova simulations","4 pages, 7 figures, Talk presented at the International Conference
  ""1604-2004 Supernovae as Cosmological Lighthouses"" (Padova, Italy, June
  16-19, 2004), (San Francisco: ASP)",,,,"astro-ph",,"  We present 2D results of simulations of the magnetorotational core collapsed
supernova. For the first time we obtain strong explosion for the core collapsed
supernova. In 2D approximation we show that amplification of the toroidal
magnetic field due to the differential rotation leads to the formation of MHD
shockwave, which produces supernova explosion. The amounts of the ejected mass
$0.1M_\odot$ and energy $\sim 0.5\div0.6 \cdot 10^{51}$ergs can explain the
energy output for supernova type II or type Ib/c explosions. The shape of the
explosion is qualitatively depends on the initial configuration of the magnetic
field, and may form strong ejection neat the equatorial plane, or produce
mildly collimated jets. Our simulation show that during the evolution of the
magnetic field the magnetorotational instability appears and leads to
exponential growth of the magnetic field strength.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 12:58:29 GMT""}]","2007-05-23"
"astro-ph/0410331","Sharon Toolan","M. Robberto, J. Song, G. Mora Carrillo, S. V. W. Beckwith, R. B.
  Makidon, and N. Panagia","Massive Star Feedback on the IMF","3 pages",,"10.1007/978-1-4020-3407-7_83","ST ScI eprint #1626","astro-ph",,"  We have obtained the first measures of the mass accretion rates on stars of
the Trapezium Cluster. They appear systematically lower than those of similar
stars in the Taurus-Auriga association. Together with premature disk
evaporation, dramatically revealed by the HST images of the Orion proplyds,
this result suggests that low mass stars in a rich cluster may be ``dwarfed''
by the influence of nearby OB stars. This feedback mechanism affects the IMF,
producing an excess of low mass stars and brown dwarfs. The observed frequency
of low mass objects in Orion vs. Taurus seems to confirm this scenario.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:00:05 GMT""},{""version"":""v2"",""created"":""Thu, 14 Oct 2004 13:39:18 GMT""}]","2015-11-11"
"astro-ph/0410332","Paul J. Wiita","Gopal-Krishna (NCRA/TIFR), Samir Dhurde (U Pune), Paul J. Wiita (GSU)","Do the mildly superluminal VLBI knots exclude ultrarelativistic blazar
  jets?","10 pages, 1 figure, to appear in ApJ Letters, Nov. 10 2004 issue","Astrophys.J. 615 (2004) L81-L84","10.1086/426435",,"astro-ph",,"  We compute the effective values of apparent transverse velocity and flux
boosting factors for the VLBI radio knots of blazar jets, by integrating over
the angular distributions of these quantities across the widths of jets with
finite opening angles but constant velocities. For high bulk Lorentz factors
(Gamma > 10) variations across the jet can be quite large if the opening angle,
omega, is even a few degrees on sub-parsec scales. The resulting apparent
speeds are often much lower than those obtained from the usual analyses that
ignore the finite jet opening angles. We can thus reconcile the usually
observed subluminal or mildly superluminal speeds with the very high (>~ 20)
Gamma factors, required by the inverse Compton origin and rapid variability of
TeV fluxes, as well as by intraday radio variability. Thus it is possible to
associate the VLBI radio knots directly with shocks in the ultra-relativistic
main jet flow, without invoking very rapid jet deceleration on parsec scales,
or extremely unlikely viewing angles.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:07:52 GMT""}]","2009-11-10"
"astro-ph/0410333","Rhaana L. C. Starling","R. L. C. Starling (1,2), M. J. Page (1), G. Branduardi-Raymont (1), A.
  A. Breeveld (1), R. Soria (1), K. Wu (1) ((1) Mullard Space Science
  Laboratory, UCL (2) University of Amsterdam)","The X-ray spectrum of NGC 7213 and the Seyfert--LINER connection","8 pages, 3 figures. Accepted for MNRAS","Mon.Not.Roy.Astron.Soc. 356 (2005) 727-733","10.1111/j.1365-2966.2004.08493.x",,"astro-ph",,"  We present an XMM-Newton observation of the Seyfert-LINER galaxy NGC 7213.
The RGS soft X-ray spectrum is well fitted with a power law plus soft X-ray
collisionally ionised thermal plasma (kT = 0.18 +0.03/-0.01 keV). We confirm
the presence of Fe I, XXV and XXVI K-alpha emission in the EPIC spectrum and
set tighter constraints on their equivalent widths of 82 +10/-13, 24 +9/-11 and
24 +10/-13 eV respectively. We compare the observed properties together with
the inferred mass accretion rate of NGC 7213, to those of other Seyfert and
LINER galaxies. We find that NGC 7213 has intermediate X-ray spectral
properties lying between those of the weak AGN found in the LINER M81 and
higher luminosity Seyfert galaxies. There appears to be a continuous sequence
of X-ray properties from the Galactic Centre through LINER galaxies to
Seyferts, likely determined by the amount of material available for accretion
in the central regions.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:37:11 GMT""}]","2009-11-10"
"cond-mat/0410298","David Snoke","D.W. Snoke, Y. Liu, Z. Voros, L. Pfeiffer, K. West","Trapping Long-Lifetime Excitons in a Two-Dimensional Harmonic Potential","Invited paper for International Conference on Spontaneous Coherence
  in Excitonic Systems, Seven Springs, PA, May 2004. To appear in Solid State
  Communications",,"10.1016/j.ssc.2004.11.053",,"cond-mat.str-el",,"  We report an important step forward for the goal of unambiguous observation
of Bose-Einstein condensation of excitons in semiconductors. We have
demonstrated a system in which excitons live for microseconds, much longer than
their thermalization time, move over distances of hundreds of microns, and can
be trapped in a harmonic potential exactly analous to the traps for atomic
condensates. We also report recent results of a new method for observing
evidence of Bose-Einstein condensation, by angular resolution of the emitted
luminescence.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 16:31:09 GMT""}]","2009-11-10"
