"astro-ph/0412525","Guenter Sigl","Eric Armengaud, Guenter Sigl (GReCO, and APC, Paris), Francesco
  Miniati (ETH Zuerich)","Ultrahigh Energy Nuclei Propagation in a Structured, Magnetized Universe","17 pages, 35 ps figures included","Phys.Rev. D72 (2005) 043009","10.1103/PhysRevD.72.043009",,"astro-ph hep-ph",,"  We compare the propagation of iron and proton nuclei above 10^19 eV in a
structured Universe with source and magnetic field distributions obtained from
a large scale structure simulation and source densities about 10^(-5) Mpc^(-3).
All relevant cosmic ray interactions are taken into account, including
photo-disintegration and propagation of secondary products. Iron injection
predicts spectral shapes different from proton injection which disagree with
existing data below about 30 EeV. Injection of light nuclei or protons must
therefore contribute at these energies. However, at higher energies, existing
data are consistent with injection of pure iron with spectral indices between 2
and 2.4. This allows a significant recovery of the spectrum above roughly 100
EeV, especially in the case of large deflections. Significant auto-correlation
and anisotropy, and considerable cosmic variance are also predicted in this
energy range. The mean atomic mass A fluctuates considerably between different
scenarios. At energies below 60 EeV, if the observed A > 35, magnetic fields
must have a negligible effect on propagation. At the highest energies the
observed flux will be dominated by only a few sources whose location may be
determined by next generation experiments to within 10-20 degrees even if
extra-galactic magnetic fields are important.
","[{""version"":""v1"",""created"":""Mon, 20 Dec 2004 16:02:28 GMT""}]","2009-11-10"
"cond-mat/0412557","Niels Gronbech Jensen","Horacio Tapia-McClung and Niels Gr{\o}nbech-Jensen","Non-iterative and exact method for constraining particles in a linear
  geometry","12 pages, 2 figures","Journal of Polymer Science B: Polymer Physics Vol.43, 911 (2005);
  Vol.48, 2604 (2010)","10.1002/polb.20383",,"cond-mat.mtrl-sci cond-mat.soft",,"  We present a practical numerical method for evaluating the Lagrange
multipliers necessary for maintaining a constrained linear geometry of
particles in dynamical simulations. The method involves no iterations, and is
limited in accuracy only by the numerical methods for solving small systems of
linear equations. As a result of the non-iterative and exact (within numerical
accuracy) nature of the procedure there is no drift in the constrained
geometry, and the method is therefore readily applied to molecular dynamics
simulations of, e.g., rigid linear molecules or materials of non-spherical
grains. We illustrate the approach through implementation in the commonly used
second-order velocity explicit Verlet method.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 04:51:38 GMT""}]","2010-12-16"
"cond-mat/0412558","Wannapong Triampo","Wannapong Triampo, I Ming Tang and Jirasak Wong-Ekkabut","Explicit Calculations on Small Non-Equilibrium Driven Lattice Gas Models","8 pages, 10 figures","Journal of the Korean Physical Society, Vol. 43, No. 2, August
  2003, pp. 207-214",,,"cond-mat.stat-mech",,"  We have investigated the non-equilibrium nature of a lattice gas system
consisting of a regular lattice of charged particles driven by an external
electric field. For a big system, an exact solution cannot be obtained using a
master equation approach since the many-particle system has too many degrees of
freedom to allow for exact solutions. We have instead chosen to study small
systems as a first step. The small systems will be composed of between two and
four particles having two or three possible values of some parameters. Applying
periodic boundary conditions and a hard-core or an exclusion-volume constraint
and imposing conservation of particle numbers via Kawasaki-type dynamics
(particle-hole exchange), we are able to calculate the exact solutions of the
steady-state relative probability density function, ri, associated with each
configuration of the small system.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 05:36:46 GMT""}]","2007-05-23"
"cond-mat/0412559","Yasunori Toda","Y. Toda, S. Adachi, Y. Abe, K. Hoshino, Y. Arakawa","Optical diffraction spectroscopy of excitons in uniaxially-strained GaN
  films","4 pages, 7 figures. Submitted to Physical Review B","Phys. Rev. B 71, 195315 (2005)","10.1103/PhysRevB.71.195315",,"cond-mat.other cond-mat.mtrl-sci",,"  The degenerate four-wave mixing spectroscopy of uniaxially strained GaN
layers is demonstrated using colinearly polarized laser pulses. The nonlinear
response of FWM signal on exciton oscillator strength enhances the sensitivity
for polarized exciton, allowing for mapping out the in-plane anisotropy of the
strain field. The observed high-contrast spectral polarization clearly shows
fine structure splittings of excitons, which are also confirmed in the change
of quantum beating periods of time.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 05:49:59 GMT""}]","2009-11-10"
"cond-mat/0412560","Georg Madsen Dr","Georg K. H. Madsen and Pavel Nov\'ak","Charge order in Magnetite. An LDA+$U$ study",,,"10.1209/epl/i2004-10416-x",,"cond-mat.str-el",,"  The electronic structure of the monoclinic structure of Fe$_3$O$_4$ is
studied using both the local density approximation (LDA) and the LDA+$U$. The
LDA gives only a small charge disproportionation, thus excluding that the
structural distortion should be sufficient to give a charge order. The LDA+$U$
results in a charge disproportion along the c-axis in good agreement with the
experiment. We also show how the effective $U$ can be calculated within the
augmented plane wave methods.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 08:45:15 GMT""}]","2016-08-16"
"cond-mat/0412561","Guang-Ming Zhang","Guang-Ming Zhang and Lu Yu","Local quantum critical behavior in magnetic Kondo impurity models with
  partially screened moment","8 pages, no figures; revised version",,,,"cond-mat.str-el cond-mat.mes-hall",,"  In the strong coupling limit, an effective resonant level model is derived
for the spin-1 underscreened Kondo impurity model. A local quantum critical
behavior is induced by the formation of a bound state with partially screened
magnetic moment, displaying a residual $Z_2$ symmetry, leading to a $\delta
$-resonance at the Fermi level in the impurity spectral function. As a
consequence, a logarithmic singularity appears in the real part of the impurity
dynamic spin susceptibility as a function of $\max (\omega, T)$, with $\omega $
as frequency, $T$ temperature. A small magnetic field breaks this $Z_2$
symmetry and suppresses the singularity. We also discuss the possible
manifestation of such a quantum critical behavior in the spin-1/2 two Kondo
impurity model and the single quantum dot system with even electron occupation.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:27:11 GMT""},{""version"":""v2"",""created"":""Thu, 24 Mar 2005 00:45:31 GMT""}]","2007-05-23"
"cond-mat/0412562","Joachim Ankerhold","Lothar Muehlbacher and Joachim Ankerhold","Path-integral Monte-Carlo simulations for electronic dynamics on
  molecular chains: II. Transport across impurities","10 pages, 10 figures","J. Chem. Phys. 122, 184715 (2005)","10.1063/1.1896355",,"cond-mat.mes-hall cond-mat.soft",,"  Electron transfer (ET) across molecular chains including an impurity is
studied based on a recently improved real-time path integral Monte Carlo (PIMC)
approach [J. Chem. Phys. {\bf 121}, 12696 (2004)]. The reduced electronic
dynamics is studied for various bridge lengths and defect site energies. By
determining intersite hopping rates from PIMC simulations up to moderate times,
the relaxation process in the extreme long time limit is captured within a
sequential transfer model. The total transfer rate is extracted and shown to be
enhanced for certain defect site energies. Further, it is revealed that the
entire bridge compound approaches a steady state on a much shorter time scale
than that related to the total transfer which allows for a simplified
description of ET along donor-bridge-acceptor systems in the long time range.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:50:11 GMT""}]","2009-11-10"
"cond-mat/0412563","Nicolas Dupuis","N. Dupuis","Effective action for superfluid Fermi systems in the strong-coupling
  limit","9 pages (final version)","Phys. Rev. A 72, 013606 (2005)","10.1103/PhysRevA.72.013606",,"cond-mat.supr-con cond-mat.str-el",,"  We derive the low-energy effective action for three-dimensional superfluid
Fermi systems in the strong-coupling limit, where superfluidity originates from
Bose-Einstein condensation of composite bosons. Taking into account density and
pairing fluctuations on the same footing, we show that the effective action
involves only the fermion density $\rho_{\bf r}$ and its conjugate variable,
the phase $\theta_{\bf r}$ of the pairing order parameter $\Delta_{\bf r}$. We
recover the standard action of a Bose superfluid of density $\rho_{\bf r}/2$,
where the bosons have a mass $m_B=2m$ and interact {\it via} a repulsive
contact potential with amplitude $g_B=4\pi a_B/m_B$, $a_B=2a$ ($a$ the s-wave
scattering length associated to the fermion-fermion interaction in vacuum). For
lattice models, the derivation of the effective action is based on the mapping
of the attractive Hubbard model onto the Heisenberg model in a uniform magnetic
field, and a coherent state path integral representation of the partition
function. The effective description of the Fermi superfluid in the
strong-coupling limit is a Bose-Hubbard model with an intersite hopping
amplitude $t_B=J/2$ and an on-site repulsive interaction $U_B=2Jz$, where
$J=4t^2/U$ ($t$ and $-U$ are the intersite hopping amplitude and the on-site
attraction in the (fermionic) Hubbard model, $z$ the number of nearest-neighbor
sites).
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 09:53:44 GMT""},{""version"":""v2"",""created"":""Thu, 20 Oct 2005 15:49:17 GMT""}]","2007-05-23"
"cond-mat/0412564","Subhabrata Dhar","S. Dhar, O. Brandt, M. Ramsteiner, V. F. Sapega, K. H. Ploog","GaN:Gd: A superdilute ferromagnetic semiconductor with a Curie
  temperature above 300 K",,,"10.1103/PhysRevB.72.245203",,"cond-mat.mtrl-sci",,"  We investigate the magnetic and magneto-optic properties of epitaxial GaN:Gd
layers as a function of the external magnetic field and temperature. An
unprecedented magnetic moment is observed in this diluted magnetic
semiconductor. The average value of the moment per Gd atom is found to be as
high as 4000 \mub as compared to its atomic moment of 8 \mub. The long-range
spin-polarization of the GaN matrix by Gd is also reflected in the circular
polarization of magneto-photoluminescence measurements. Moreover, the materials
system is found to be ferromagnetic above room temperature in the entire
concentration range under investigation (7$\times10^{15}$ to 2$\times10^{19}$
cm$^{-3}$). We propose a phenomenological model to understand the macroscopic
magnetic behavior of the system. Our study reveals a close connection between
the observed ferromagnetism and the colossal magnetic moment of Gd.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 10:02:19 GMT""},{""version"":""v2"",""created"":""Wed, 19 Jan 2005 14:05:02 GMT""}]","2009-11-10"
"cond-mat/0412565","M. C. Refolio","M.C.Refolio, J.M.Lopez Sancho, J.Rubio and J.A. Verges","The one-particle Green's function of one.dimensional insulating
  materials","13 pages, 7 figures",,,,"cond-mat.str-el",,"  The single particle spectral-weight function (SWF) of the ionic Hubbard model
at half filling is calculated in the cluster perturbation theory approximation.
An abrupt change of regime in the low-energy region, near the chemical
potential, is found at a critical value, $U_{c}$, of the coupling constant
(Hubbard $U$). The SWF at the Fermi points $k_{F}$=$\pm{\pi}/2$ jumps, as $U$
increases, from a two-peak structure, the gap edges, to a four-peak structure
accompanied by a (non-vanishing) minimum of the charge-gap. The two inner peaks
of this structure show very small dispersion (flat bands) away from the Fermi
points, whereas the outer peaks mark the edges of the Hubbard bands. No other
signatures of abrupt change are detected in the SWF. The two regimes are
physically realized in the angle-resolved photoelectron spectra of
$(TaSe_{4})_{2}I$, and the blue-bronze $K_{0.3}MoO_{3}$, respectively.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:22:02 GMT""}]","2016-08-31"
"cond-mat/0412566","David Zueco","D. Zueco, J. L. Garcia-Palacios","Quantum Ratchets at High Temperatures","submitted to Physia E (proceedings of conference ""Frontiers of
  Quantum and Mesoscopic Thermodynamics"", Prague 26-29 July 2004)",,"10.1016/j.physe.2005.05.043",,"cond-mat.other",,"  Using the continued-fraction method we solve the Caldeira-Leggett master
equation in the phase-space (Wigner) representation to study Quantum ratchets.
Broken spatial symmetry, irreversibility and periodic forcing allows for a net
current in these systems. We calculate this current as a function of the force
under adiabatic conditions. Starting from the classical limit we make the
system quantal. In the quantum regime tunnel events and over-barrier wave
reflection phenomena modify the classical result. Finally, using the
phase-space formalism we give some insights about the decoherence in these
systems.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:25:35 GMT""}]","2009-11-10"
"cond-mat/0412567","Marat Gafurov","M.R. Gafurov,, V.A. Ivanshin, I.N. Kurkin, M.P. Rodionova, H. Keller,
  M. Gutmann, U. Staub","EPR study of some rare-earth ions (Dy3+, Tb3+ and Nd3+) in YBa2Cu3O6
  compound","9 Pages, 2 Figures","Journ. Magn. Reson. 161 (2003) 210-214","10.1016/S1090-7807(03)00002-8",,"cond-mat.supr-con cond-mat.str-el",,"  We investigate the low temperature X-band electron paramagnetic resonance
(EPR) of YBa2Cu3O6 compounds with x = 6.0 doped with Dy3+, Tb3+, and Nd3+. The
EPR spectra of Dy3+ and Tb3+ have been identified. The EPR of Tb3+ is used also
to study the effect of suppression of high Tc superconductivity. The EPR of
Nd3+ is probably masked by the intense resonance of Cu2+. All experimental EPR
results compare well with theoretical estimations.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 11:49:10 GMT""}]","2009-11-10"
"cond-mat/0412568","Matt Challacombe","Val\'ery Weber and Anders M. N. Niklasson and Matt Challacombe","Higher Order Response in ${\cal O}(N)$ by Perturbed Projection","Submitted to the Journal of Chemical Physics",,"10.1063/1.1944724","LA-UR-04-5219","cond-mat.mtrl-sci cond-mat.other",,"  Perturbed projection for linear scaling solution of the coupled-perturbed
self-consistent-field equations [Weber, Niklasson and Challacombe, Phys. Rev.\
Lett. {\bf 92}, 193002 (2004)] is extended to the computation of higher order
static response properties. Although generally applicable, perturbed projection
is developed here in the context of the self-consistent first and second
electric hyperpolarizabilities of three dimensional water clusters at the
Hartree-Fock level of theory. Non-orthogonal, density matrix analogues of
Wigner's $2n+1$ rule are given up to fourth order. Linear scaling and locality
of the higher order response densities under perturbation by a global electric
field are demonstrated.
","[{""version"":""v1"",""created"":""Tue, 21 Dec 2004 13:01:05 GMT""}]","2009-11-10"
