"astro-ph/0409159","Daniele Fargion","M. Iori, A. Sergi and D. Fargion","Test results of a prototype designed to detect horizontal cosmic ray
  flux","12 pages, 13 figures",,,,"astro-ph hep-ph",,"  In this paper we report test results from a prototype designed to detect
muons from horizontal air shower at large zenith angle,
  $86^{0}<\Theta<93^{0}$. To detect horizontal tracks and their directions we
select them according the muon vertical equivalent charge and we measure the
time of flight with a time resolution of 800 ps. Several measurements are
collected at different zenith angles. The background studies performed with two
modules show that the main source is due to tracks crossing the module at the
same time. The upper limit of background flux for a single twin module is
estimated to be $10^{-9} cm^{-2}$ $s^{-1}$ $sr^{-1} (90%CL)$. We estimated the
size of the surface array necessary to detect the shower flux of the order of
$10^{-9} cm^{-2}$ $yr^{-1}$ $sr^{-1}$ if originated by Tau Air-Showers
secondaries of GZK neutrino Tau below the horizons.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:02:06 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 2004 07:56:25 GMT""}]","2016-08-30"
"cond-mat/0409194","Arti Dua","Arti Dua and Thomas A. Vilgis","Constrained dynamics of a polymer ring enclosing a constant area","6 pages",,"10.1103/PhysRevE.71.021801",,"cond-mat.soft cond-mat.stat-mech",,"  The dynamics of a polymer ring enclosing a constant {\sl algebraic} area is
studied. The constraint of a constant area is found to couple the dynamics of
the two Cartesian components of the position vector of the polymer ring through
the Lagrange multiplier function which is time dependent. The time dependence
of the Lagrange multiplier is evaluated in a closed form both at short and long
times. At long times, the time dependence is weak, and is mainly governed by
the inverse of the first mode of the area. The presence of the constraint
changes the nature of the relaxation of the internal modes. The time
correlation of the position vectors of the ring is found to be dominated by the
first Rouse mode which does not relax even at very long times. The mean square
displacement of the radius vector is found to be diffusive, which is associated
with the rotational diffusion of the ring.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:42:22 GMT""}]","2009-11-10"
"cond-mat/0409195","Arti Dua","Amina Negadi, Arti Dua, Thomas A. Vigis","Chains in critical fluids and nanopores","6 pages",,,,"cond-mat.soft cond-mat.stat-mech",,"  The conformational behavior of a polymer in a critical binary solvent
confined in a porous medium is studied. The size of the polymer in bulk, which
is mainly governed by the correlation length of the solvent density
fluctuations, depends on the proximity to the critical point of the binary
mixture. We find that in contrast to the bulk behavior, the conformational
properties of the polymer in a porous medium depends strongly on the pore size.
The latter controls the correlation length of the solvent density fluctuations
and thus determines the polymer size.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 14:42:28 GMT""}]","2007-05-23"
"cond-mat/0409197","Zhibing Li","C.G. Bao and Z.B. Li","Ground Band and a Generalized GP-equation for Spinor Bose-Einstein
  Condensates","7 page, 5 figures",,"10.1103/PhysRevA.70.043620",,"cond-mat.other cond-mat.str-el",,"  For the spinor Bose-Einstein condensates both the total spin $S$ and its
Z-component $S_{Z}$ should be conserved. However, in existing theories, only
the conservation of $S_{z}$ has been taken into account. To remedy, this paper
is the first attempt to take the conservation of both $% S$ and $S_{Z}$ into
account. For this purpose, a total spin-state with the good quantum numbers $S$
and $S_{Z}$ is introduced in the trial wave function, thereby a generalized
Gross-Pitaevskii equation has been derived. With this new equation, the ground
bands of the $^{23}$Na and $% ^{87}$Rb condensates have been studied, where the
levels distinct in $S$ split. It was found that the level density is extremely
dense in the bottom of the ground band of $^{23}$Na, i.e., in the vicinity of
the ground state. On the contrary, for $^{87}$Rb, the levels are extremely
dense in the top of the ground band,
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 15:53:39 GMT""}]","2009-11-10"
"cs/0409010","Alexander Barg","Alexander Barg and Gilles Zemor","Distance properties of expander codes","19 pages, 7 figures",,,,"cs.IT cs.DM math.IT",,"  We study the minimum distance of codes defined on bipartite graphs. Weight
spectrum and the minimum distance of a random ensemble of such codes are
computed. It is shown that if the vertex codes have minimum distance $\ge 3$,
the overall code is asymptotically good, and sometimes meets the
Gilbert-Varshamov bound.
  Constructive families of expander codes are presented whose minimum distance
asymptotically exceeds the product bound for all code rates between 0 and 1.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:02:08 GMT""}]","2007-07-13"
"cs/0409011","G. David Forney Jr.","G. David Forney Jr","Shannon meets Wiener II: On MMSE estimation in successive decoding
  schemes","9 pages, 5 figures. To appear in Proc. 2004 Allerton Conf.
  (Monticello, IL), Sept. 2004; final version",,,,"cs.IT math.IT",,"  We continue to discuss why MMSE estimation arises in coding schemes that
approach the capacity of linear Gaussian channels. Here we consider schemes
that involve successive decoding, such as decision-feedback equalization or
successive cancellation.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 21:02:11 GMT""},{""version"":""v2"",""created"":""Sun, 26 Sep 2004 21:50:58 GMT""}]","2007-07-16"
"cs/0409012","Elchanan Mossel","Eliza N. Maneva and Elchanan Mossel and Martin J. Wainwright","A New Look at Survey Propagation and its Generalizations","v2:typoes and reference corrections; v3: expanded exposition",,,,"cs.CC",,"  This paper provides a new conceptual perspective on survey propagation, which
is an iterative algorithm recently introduced by the statistical physics
community that is very effective in solving random k-SAT problems even with
densities close to the satisfiability threshold. We first describe how any SAT
formula can be associated with a novel family of Markov random fields (MRFs),
parameterized by a real number \rho \in [0,1]. We then show that applying
belief propagation--a well-known ``message-passing'' technique for estimating
marginal probabilities--to this family of MRFs recovers a known family of
algorithms, ranging from pure survey propagation at one extreme (\rho = 1) to
standard belief propagation on the uniform distribution over SAT assignments at
the other extreme (\rho = 0). Configurations in these MRFs have a natural
interpretation as partial satisfiability assignments, on which a partial order
can be defined. We isolate cores as minimal elements in this partial ordering,
which are also fixed points of survey propagation and the only assignments with
positive probability in the MRF for \rho=1. Our experimental results for k=3
suggest that solutions of random formulas typically do not possess non-trivial
cores. This makes it necessary to study the structure of the space of partial
assignments for \rho<1 and investigate the role of assignments that are very
close to being cores. To that end, we investigate the associated lattice
structure, and prove a weight-preserving identity that shows how any MRF with
\rho>0 can be viewed as a ``smoothed'' version of the uniform distribution over
satisfying assignments (\rho=0). Finally, we isolate properties of Gibbs
sampling and message-passing algorithms that are typical for an ensemble of
k-SAT problems.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 01:27:14 GMT""},{""version"":""v2"",""created"":""Mon, 25 Oct 2004 02:19:00 GMT""},{""version"":""v3"",""created"":""Mon, 31 Oct 2005 04:36:10 GMT""}]","2007-05-23"
"cs/0409013","Ching-Chi Lin","Ching-Chi Lin, Gerard J. Chang, Gen-Huey Chen","Locally connected spanning trees on graphs","14 pages, 3 figures",,,,"cs.DS cs.DM",,"  A locally connected spanning tree of a graph $G$ is a spanning tree $T$ of
$G$ such that the set of all neighbors of $v$ in $T$ induces a connected
subgraph of $G$ for every $v\in V(G)$. The purpose of this paper is to give
linear-time algorithms for finding locally connected spanning trees on strongly
chordal graphs and proper circular-arc graphs, respectively.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 09:08:18 GMT""}]","2007-05-23"
"cs/0409014","Manoj Kumar","Sunder lal and Manoj Kumar","A Digital Signature with Threshold Generation and Verification","10 Pages",,,,"cs.CR",,"  This paper proposes a signature scheme where the signatures are generated by
the cooperation of a number of people from a given group of senders and the
signatures are verified by a certain number of people from the group of
recipients. Shamir's threshold scheme and Schnorr's signature scheme are used
to realize the proposed scheme.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 11:55:58 GMT""},{""version"":""v2"",""created"":""Fri, 17 Sep 2004 12:29:23 GMT""},{""version"":""v3"",""created"":""Tue, 2 Nov 2004 12:21:31 GMT""}]","2007-05-23"
"gr-qc/0409033","Marco Alberici","Marco Alberici","Clock rate comparison in a uniform gravitational field","11 pages, 4 figures, RevTeX4. Few equation were corrected, and the
  pictures were more properly redrawn. A new paper of the same author ""Measures
  and metrics in uniform gravitational fields"" gr-qc/0503092, contains all the
  results and the proofs presented in this paper, but also new material",,,,"gr-qc physics.ed-ph",,"  A partially alternative derivation of the expression for the time dilation
effect in a uniform static gravitational field is obtained by means of a
thought experiment in which rates of clocks at rest at different heights are
compared using as reference a clock bound to a free falling reference system
(FFRS). Derivations along these lines have already been proposed, but generally
introducing some shortcut in order to make the presentation elementary. The
treatment is here exact: the clocks whose rates one wishes to compare are let
to describe their world lines (Rindler's hyperbolae) with respect to the FFRS,
and the result is obtained by comparing their lengths in space-time. Only at
the end of the paper the corresponding GR metric is derived, to the purpose of
making a comparison to the solutions of Einstein field equation. The exercise
may nonetheless prove pedagogically instructive insofar as it shows that the
exact result of General Relativity (GR) can be obtained in terms of physical
and geometrical reasoning without having recourse to the general formalism. It
also compels to deal with a few subtle points inherent in the very foundations
of GR.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 16:56:01 GMT""},{""version"":""v2"",""created"":""Mon, 29 Nov 2004 16:15:05 GMT""},{""version"":""v3"",""created"":""Wed, 18 May 2005 14:04:55 GMT""}]","2007-05-23"
"gr-qc/0409034","Massimo Tinto","Massimo Tinto, and Sanjeev V. Dhurandhar","Time-Delay Interferometry","51 pages, 11 figures. To appear in: Living Reviews. Added content","LivingRev.Rel.8:4,2005","10.12942/lrr-2005-4",,"gr-qc",,"  Equal-arm interferometric detectors of gravitational radiation allow phase
measurements many orders of magnitude below the intrinsic phase stability of
the laser injecting light into their arms. This is because the noise in the
laser light is common to both arms, experiencing exactly the same delay, and
thus cancels when it is differenced at the photo detector. In this situation,
much lower level secondary noises then set overall performance. If, however,
the two arms have different lengths (as will necessarily be the case with
space-borne interferometers), the laser noise experiences different delays in
the two arms and will hence not directly cancel at the detector. In order to
solve this problem, a technique involving heterodyne interferometry with
unequal arm lengths and independent phase-difference readouts has been
proposed. It relies on properly time-shifting and linearly combining
independent Doppler measurements, and for this reason it has been called
Time-Delay Interferometry (or TDI). This article provides an overview of the
theory and mathematical foundations of TDI as it will be implemented by the
forthcoming space-based interferometers such as the Laser Interferometer Space
Antenna (LISA) mission. We have purposely left out from this first version of
our ``Living Review'' article on TDI all the results of more practical and
experimental nature, as well as all the aspects of TDI that the data analysts
will need to account for when analyzing the LISA TDI data combinations. Our
forthcoming ``second edition'' of this review paper will include these topics.
","[{""version"":""v1"",""created"":""Tue, 7 Sep 2004 23:19:46 GMT""},{""version"":""v2"",""created"":""Mon, 11 Jul 2005 10:37:51 GMT""}]","2021-03-25"
"gr-qc/0409035","Ali Shojai","Fatimah Shojai and Ali Shojai","Constraint Algebra in Causal Loop Quantum Gravity","3 pages, to appear in Proceedings of the 11th Regional Conference on
  Mathematical Physics (2004), Tehran, Iran",,"10.1142/9789812701862_0030",,"gr-qc quant-ph",,"  de-Broglie--Bohm causal interpretation of canonical quantum gravity in terms
of Ashtekar new variables is built. The Poisson brackets of (deBroglie--Bohm)
constraints are derived and it is shown that the Poisson bracket of Hamiltonian
with itself would change with respect to its classical counterpart.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 06:10:12 GMT""}]","2017-08-23"
"gr-qc/0409036","Florian Conrady","Florian Conrady (CPT, Marseille & Potsdam, Max Planck Inst.)","Free vacuum for loop quantum gravity","30 pages, 3 diagrams, treatment of phase factor added","Class.Quant.Grav. 22 (2005) 3261-3293","10.1088/0264-9381/22/16/010","AEI-2003-073","gr-qc",,"  We linearize extended ADM-gravity around the flat torus, and use the
associated Fock vacuum to construct a state that could play the role of a free
vacuum in loop quantum gravity. The state we obtain is an element of the
gauge-invariant kinematic Hilbert space and restricted to a cutoff graph, as a
natural consequence of the momentum cutoff of the original Fock state. It has
the form of a Gaussian superposition of spin networks. We show that the peak of
the Gaussian lies at weave-like states and derive a relation between the
coloring of the weaves and the cutoff scale. Our analysis indicates that the
peak weaves become independent of the cutoff length when the latter is much
smaller than the Planck length. By the same method, we also construct
multiple-graviton states. We discuss the possible use of these states for
deriving a perturbation series in loop quantum gravity.
","[{""version"":""v1"",""created"":""Wed, 8 Sep 2004 08:59:46 GMT""},{""version"":""v2"",""created"":""Tue, 5 Apr 2005 09:19:55 GMT""}]","2009-11-10"
